shopid,shop_name,shop_location,shop_rating,shopee_verified,Shopdacbiet,Shopxuhuong
16976010,Hiệu đồ 90s,TP. Hồ Chí Minh,4.874302,False,0.0,0.0
899052577,MY Men's Fashion.vn,Nước ngoài,4.892683,True,0.0,0.0
499489485,liangliang1.vn,Nước ngoài,4.82089,False,0.0,0.0
104593988,moilygoods.vn,Nước ngoài,4.817908,True,0.0,0.0
212667821,Giangpkc Phụ kiện nam nữ,TP. Hồ Chí Minh,4.84751,False,0.0,0.0
311367539,JM9 CAKE,Nước ngoài,4.788694,True,0.0,0.0
75307877,day6.vn,Nước ngoài,4.782247,False,0.0,0.0
659735838,skypower.vn,Nước ngoài,4.799001,False,0.0,0.0
232434430,KING Sỉ Cà Vạt-Nơ-Gile-Áo Quần,TP. Hồ Chí Minh,4.848696,True,0.0,0.0
25624565,"Cà vạt nơ, chậu nhựa Kim Dương",TP. Hồ Chí Minh,4.927263,True,1.0,0.0
272928488,YOOL Fashion Accessories Store,Nước ngoài,4.935047,True,0.0,0.0
16902909,Fittop,TP. Hồ Chí Minh,4.943818,True,0.0,0.0
821278280,SilkScarfTie,Nước ngoài,4.832311,False,0.0,0.0
199519169,Thomas Nguyen Store,TP. Hồ Chí Minh,4.958115,False,0.0,0.0
134944680,linlinlinfu.vn,Nước ngoài,4.875326,False,0.0,0.0
26993521,Xưởng Phụ Kiện Nam Nữ,Hà Nội,4.863373,False,1.0,0.0
90335426,Xưởng Cà Vạt,Hà Nội,4.78998,True,0.0,0.0
24341415,Phụ kiện cưới Giang,TP. Hồ Chí Minh,4.914313,True,0.0,1.0
43839311,phuonglinh86shop,Nam Định,4.845884,True,1.0,1.0
27552298,Shop GIá Tốt,Hà Nội,4.840246,False,1.0,0.0
437526572,US.ARMY OFFICESTORE,Hà Nội,4.81898,False,1.0,1.0
5489274,PUGI - THỜI TRANG NAM CAO CẤP,TP. Hồ Chí Minh,4.72249,True,0.0,0.0
64284359,Ví_Cầm_Tay_Nam_Hàng_Hiệu,Hà Nội,4.855069,True,1.0,0.0
16752638,Minh Tâm Leather,TP. Hồ Chí Minh,4.814804,False,0.0,0.0
26471024,LAN HƯƠNG DESIGH,Hà Nội,4.272727,False,0.0,0.0
697805181,lp_d6icbo3,Hưng Yên,4.698761,True,0.0,0.0
321973191,Shop thời trang giá tốt 86,TP. Hồ Chí Minh,4.78255,False,1.0,0.0
146886568,DON STORE,Vĩnh Phúc,4.842197,True,1.0,0.0
97164422,DL Leather,TP. Hồ Chí Minh,4.896077,True,1.0,0.0
73896404,CHUYÊN SỈ PHỤ KIỆN NAM,Hà Nội,4.765037,False,0.0,0.0
16393967,Túi xách Hồng Thư,Hà Nội,4.753872,True,0.0,0.0
85252593,T.O.P Mall - Thế Giới Túi,Hà Nội,4.761955,True,0.0,1.0
436773822,Ava leather,Hà Nội,4.908082,False,0.0,0.0
170859867,24H - online,Hà Nội,4.277859,True,0.0,0.0
332838307,ĐẠI PHÁT 88,Hà Nam,4.94183,True,0.0,0.0
388463489,anhemshopphuctan,Hưng Yên,4.864035,True,0.0,0.0
94970725,Xưởng Dây Lưng Hà Nội,Hà Nội,4.6936,True,0.0,0.0
397164245,Xưởng Túi Duyên Cường 1993,Nam Định,4.76382,True,0.0,1.0
332904942,TUSHI OFFICIAL,Hà Nam,4.908376,True,0.0,1.0
203360566,Phụ Kiện Thời Trang Pro,TP. Hồ Chí Minh,4.895935,True,0.0,0.0
881970552,menspe.top.vn,TP. Hồ Chí Minh,4.888737,False,0.0,0.0
267257068,louiswill.vn,Nước ngoài,4.8486,False,0.0,0.0
221435717,Bụi leather - Đồ da cao cấp,Hà Nội,4.909459,False,1.0,0.0
71143430,HG Store 555,Hưng Yên,4.980598,False,0.0,0.0
448364971,Bông Store- PK Thời Trang,Hà Nội,4.780509,True,1.0,0.0
465095944,Phụ kiên thời trang 9x2k,Vĩnh Phúc,4.741203,False,1.0,0.0
52642921,Chuyên Đồ da thật CdLeather,Hưng Yên,4.879607,False,0.0,0.0
323456104,Kho Chuyên Sỉ Giá Tốt,TP. Hồ Chí Minh,4.814419,False,0.0,0.0
150121433,◼ YESMAN FASHION ◼,Nước ngoài,4.897871,True,0.0,0.0
475419989,vicenzo_official,Hà Nội,4.814766,False,0.0,0.0
437436522,catphuongchuyensilegiaydep,Nam Định,4.948688,True,1.0,0.0
154261422,online24h.,Hà Nội,4.361132,True,0.0,0.0
12063050,proman2020,TP. Hồ Chí Minh,4.917796,True,1.0,0.0
623970245,PHỤ KIỆN NAM_THỜI TRANG SỐ 1,Hưng Yên,4.73878,False,1.0,0.0
817010269,dongli1688.vn,Nước ngoài,4.755358,False,0.0,0.0
102568210,Leonardo,TP. Hồ Chí Minh,4.879402,False,1.0,0.0
238011216,Lucky Leather -Đồ da cao cấp,Hà Nội,4.516807,False,1.0,0.0
81082610,Đồ Da Dabaraac Store,Hà Nội,4.54306,True,0.0,0.0
454056263,GG&KK SHOP,TP. Hồ Chí Minh,4.827324,False,0.0,0.0
764525156,c85881507.vn,Nước ngoài,4.607429,True,0.0,0.0
170286788,soft.menswear,Hà Nội,4.854633,True,0.0,0.0
